Start Time,End Time,Tag,Note,Tree Type,Is Success
Sat May 19 13:14:55 GMT+08:00 2018,Sat May 19 13:34:55 GMT+08:00 2018,Guitar,Rodrigo - Toccata,Bush,TRUE
Sat May 19 15:28:31 GMT+08:00 2018,Sat May 19 16:08:31 GMT+08:00 2018,Guitar,Rodrigo Tocatta recording,Cedar,TRUE
Sat May 19 19:26:53 GMT+08:00 2018,Sat May 19 21:26:53 GMT+08:00 2018,Unset,LSD,Cedar,TRUE
Sun May 20 11:21:02 GMT+08:00 2018,Sun May 20 12:21:02 GMT+08:00 2018,Guitar,Barrios Valse: Arpeggio section,Cedar,TRUE
Wed May 23 11:56:43 GMT+08:00 2018,Wed May 23 13:56:43 GMT+08:00 2018,Guitar,Revising Barrios Valse and finishing up,Cedar,TRUE
Wed May 23 14:16:34 GMT+08:00 2018,Wed May 23 14:46:34 GMT+08:00 2018,Guitar,,Ginkgo,TRUE
Wed May 23 15:56:47 GMT+08:00 2018,Wed May 23 16:56:47 GMT+08:00 2018,Guitar,brushing up on barrios valse,Ginkgo,TRUE
Thu May 24 18:18:37 GMT+08:00 2018,Thu May 24 18:48:37 GMT+08:00 2018,Guitar,,Ginkgo,TRUE
Thu May 24 19:08:03 GMT+08:00 2018,Thu May 24 20:38:03 GMT+08:00 2018,Guitar,,Ginkgo,TRUE
Sat May 26 10:58:42 GMT+08:00 2018,Sat May 26 12:58:42 GMT+08:00 2018,Guitar,,Ginkgo,TRUE
Sat May 26 15:35:25 GMT+08:00 2018,Sat May 26 16:00:25 GMT+08:00 2018,Guitar,,Ginkgo,TRUE
Sat May 26 21:17:26 GMT+08:00 2018,Sat May 26 21:37:26 GMT+08:00 2018,Guitar,,Bush,TRUE
Tue May 29 10:12:27 GMT+08:00 2018,Tue May 29 12:12:27 GMT+08:00 2018,Guitar,Revising Mozart's 12 variations of Twinkle Twinkle ,Ginkgo,TRUE
Tue May 29 14:34:41 GMT+08:00 2018,Tue May 29 16:34:41 GMT+08:00 2018,Guitar,"Revising Twinkle Twinkle slowly 

Valse En Skai
",Ginkgo,TRUE
Wed May 30 15:43:32 GMT+08:00 2018,Wed May 30 15:51:56 GMT+08:00 2018,Unset,Withered because I was reading into investments,Ginkgo,FALSE
Wed May 30 16:28:54 GMT+08:00 2018,Wed May 30 17:28:54 GMT+08:00 2018,Guitar,,Ginkgo,TRUE
Wed May 30 18:37:29 GMT+08:00 2018,Wed May 30 19:07:29 GMT+08:00 2018,Unset,China's policies on censorship,Cedar,TRUE
Wed May 30 21:42:01 GMT+08:00 2018,Wed May 30 22:12:01 GMT+08:00 2018,Unset,Researching on the Arab Spring,Cedar,TRUE
Wed May 30 22:15:44 GMT+08:00 2018,Wed May 30 22:45:44 GMT+08:00 2018,Unset,,Cedar,TRUE
Thu May 31 21:39:13 GMT+08:00 2018,Thu May 31 22:19:13 GMT+08:00 2018,Unset,,Ginkgo,TRUE
Sat Jun 02 11:12:12 GMT+08:00 2018,Sat Jun 02 13:12:12 GMT+08:00 2018,Unset,,Ginkgo,TRUE
Sat Jun 02 13:42:09 GMT+08:00 2018,Sat Jun 02 15:42:09 GMT+08:00 2018,Unset,,Ginkgo,TRUE
Sun Jun 03 10:55:39 GMT+08:00 2018,Sun Jun 03 12:55:39 GMT+08:00 2018,Unset,,Ginkgo,TRUE
Sun Jun 03 18:28:56 GMT+08:00 2018,Sun Jun 03 19:28:56 GMT+08:00 2018,Unset,,Ginkgo,TRUE
Mon Jun 04 07:58:38 GMT+08:00 2018,Mon Jun 04 09:28:38 GMT+08:00 2018,Unset,,Ginkgo,TRUE
Mon Jun 04 20:25:23 GMT+08:00 2018,Mon Jun 04 22:23:22 GMT+08:00 2018,Unset,,Ginkgo,FALSE
Wed Jun 06 08:03:01 GMT+08:00 2018,Wed Jun 06 09:11:55 GMT+08:00 2018,Unset,,Ginkgo,TRUE
Thu Jun 07 18:40:18 GMT+08:00 2018,Thu Jun 07 20:16:39 GMT+08:00 2018,Unset,,Ginkgo,TRUE
Sun Jun 10 10:18:26 GMT+08:00 2018,Sun Jun 10 12:18:26 GMT+08:00 2018,Unset,,Ginkgo,TRUE
Sun Jun 10 19:00:39 GMT+08:00 2018,Sun Jun 10 21:00:39 GMT+08:00 2018,Unset,,Ginkgo,TRUE
Mon Jun 11 10:41:01 GMT+08:00 2018,Mon Jun 11 11:21:01 GMT+08:00 2018,Unset,,Ginkgo,TRUE
Tue Jun 12 18:39:40 GMT+08:00 2018,Tue Jun 12 19:10:34 GMT+08:00 2018,Unset,,Ginkgo,FALSE
Tue Jun 12 19:12:34 GMT+08:00 2018,Tue Jun 12 19:42:34 GMT+08:00 2018,Unset,,Ginkgo,TRUE
Fri Jun 15 11:33:20 GMT+08:00 2018,Fri Jun 15 13:33:20 GMT+08:00 2018,Unset,,Ginkgo,TRUE
Fri Jun 15 19:05:14 GMT+08:00 2018,Fri Jun 15 19:35:14 GMT+08:00 2018,Unset,,Ginkgo,TRUE
Sat Jun 16 13:58:54 GMT+08:00 2018,Sat Jun 16 15:58:54 GMT+08:00 2018,Unset,,Ginkgo,TRUE
